ticker,rs_days,ipo_days_eff,fresh_via,as_of_date
BSMZ,,332,ipo,2026-08-15
BSOL,,291,ipo,2026-08-15
BSP,,45,ipo,2026-08-15
BSTS,,66,ipo,2026-08-15
BSTU,,66,ipo,2026-08-15
BSTV,,66,ipo,2026-08-15
BTCK,,72,ipo,2026-08-15
BTCU,,80,ipo,2026-08-15
BTDL,,32,ipo,2026-08-15
BTF,201,1758,rs,2026-08-15
BTFL,,228,ipo,2026-08-15
BTGO,,205,ipo,2026-08-15
BTM,173,1139,rs,2026-08-15
BTOG,207,1642,rs,2026-08-15
BTOT,,247,ipo,2026-08-15
BTQ,,323,ipo,2026-08-15
BTTC,558,317,ipo,2026-08-15
BTYB,,193,ipo,2026-08-15
BU,,269,ipo,2026-08-15
BUDA,,219,ipo,2026-08-15
BUFE,,128,ipo,2026-08-15
BUGLF,262,,rs,2026-08-15
BULG,113,369,rs,2026-08-15
BULX,,346,ipo,2026-08-15
BURU,166,743,rs,2026-08-15
BUSC,200,,rs,2026-08-15
BUSIX,148,,rs,2026-08-15
BUYB,,100,ipo,2026-08-15
BVAXF,338,,rs,2026-08-15
BVC,8080,222,ipo,2026-08-15
BWIV,,96,ipo,2026-08-15
BWIV.U,,148,ipo,2026-08-15
BWIV.WS,,96,ipo,2026-08-15
BWOW,,262,ipo,2026-08-15
BWQG,,37,ipo,2026-08-15
BXBL,,26,ipo,2026-08-15
BXDC,,93,ipo,2026-08-15
BYAH,9,291,both,2026-08-15
BYMMX,222,,rs,2026-08-15
BYND,1,2662,rs,2026-08-15
BYOGF,87,,rs,2026-08-15
BYRRF,351,,rs,2026-08-15
BZDLF,345,,rs,2026-08-15
BZQ,79,6269,rs,2026-08-15
BZZ,,101,ipo,2026-08-15
CABR,,275,ipo,2026-08-15
CABZ,,213,ipo,2026-08-15
CAES,,59,ipo,2026-08-15
CAGE,6185,121,ipo,2026-08-15
CAII,,54,ipo,2026-08-15
CAIIU,,108,ipo,2026-08-15
CAIIW,,54,ipo,2026-08-15
CAIQ,,268,ipo,2026-08-15
CALY,,211,ipo,2026-08-15
CAM,,313,ipo,2026-08-15
CAMC,,52,ipo,2026-08-15
CANF,222,4652,rs,2026-08-15
CANG,25,271,both,2026-08-15
CAPNU,,73,ipo,2026-08-15
CAQ,8558,138,ipo,2026-08-15
CAQUU,,190,ipo,2026-08-15
CAQUW,,136,ipo,2026-08-15
CARX,,52,ipo,2026-08-15
CAST,,158,ipo,2026-08-15
CATG,1835,95,ipo,2026-08-15
CATTF,54,,rs,2026-08-15
CBC,,268,ipo,2026-08-15
CBIL,,72,ipo,2026-08-15
CBK,,317,ipo,2026-08-15
CBO,,213,ipo,2026-08-15
CBOL,,305,ipo,2026-08-15
CBOO,,312,ipo,2026-08-15
CBRG,,92,ipo,2026-08-15
CBRS,,93,ipo,2026-08-15
CBRX,,78,ipo,2026-08-15
CBRZ,,78,ipo,2026-08-15
CBTL,,305,ipo,2026-08-15
CBTO,,312,ipo,2026-08-15
CBTTF,303,,rs,2026-08-15
CBVTF,54,,rs,2026-08-15
CBWTF,18,,rs,2026-08-15
CBXL,,305,ipo,2026-08-15
CBXO,,312,ipo,2026-08-15
CCAQ,,80,ipo,2026-08-15
CCAQU,,80,ipo,2026-08-15
CCAQW,,80,ipo,2026-08-15
CCC,,288,ipo,2026-08-15
CCCFF,22,,rs,2026-08-15
CCCTU,,37,ipo,2026-08-15
CCG,26,1062,rs,2026-08-15
CCHH,33,316,both,2026-08-15
CCID,,284,ipo,2026-08-15
CCII,,358,ipo,2026-08-15
CCIIW,,358,ipo,2026-08-15
CCIXU,,80,ipo,2026-08-15
CCOM,,200,ipo,2026-08-15
CCPX,,73,ipo,2026-08-15
CCRP,,247,ipo,2026-08-15
CCTG,204,940,rs,2026-08-15
CCWYF,81,,rs,2026-08-15
CCXI,,187,ipo,2026-08-15
CCXIU,,241,ipo,2026-08-15
CCXIW,,187,ipo,2026-08-15
CD,7284,275,ipo,2026-08-15
CDIG,,332,ipo,2026-08-15
CDIX,215,,rs,2026-08-15
CDLX,68,3109,rs,2026-08-15
